[2024-12-15 00:34:42] [info] Log initialize done.
[2024-12-15 00:34:42] [info] Engine initialize done.
[2024-12-15 00:34:44] [debug] FPS : 2775.4648
[2024-12-15 00:34:44] [debug] FPS : 2642.0078
[2024-12-15 00:34:45] [debug] FPS : 2896.8713
[2024-12-15 00:34:45] [debug] FPS : 6422.6074
[2024-12-15 00:34:45] [debug] FPS : 6369.427
[2024-12-15 00:34:45] [debug] FPS : 2376.9907
[2024-12-15 00:34:46] [debug] FPS : 6161.4297
[2024-12-15 00:34:48] [debug] FPS : 2116.85
[2024-12-15 00:34:48] [debug] FPS : 2184.36
[2024-12-15 00:34:49] [debug] FPS : 2473.411
[2024-12-15 00:34:49] [debug] FPS : 4889.9756
[2024-12-15 00:34:50] [debug] FPS : 5564.83
[2024-12-15 00:34:50] [debug] FPS : 3236.246
[2024-12-15 00:34:50] [debug] FPS : 5543.2373
[2024-12-15 00:34:50] [debug] FPS : 3037.667
[2024-12-15 00:34:50] [debug] FPS : 3244.6465
[2024-12-15 00:34:50] [debug] FPS : 5376.3438
[2024-12-15 00:34:50] [debug] FPS : 5458.515
[2024-12-15 00:34:50] [debug] FPS : 5136.107
[2024-12-15 00:34:51] [debug] FPS : 4796.163
[2024-12-15 00:34:51] [debug] FPS : 8741.259
[2024-12-15 00:34:51] [debug] FPS : 5787.0366
[2024-12-15 00:34:51] [debug] FPS : 1855.2877
[2024-12-15 00:34:51] [debug] FPS : 5617.9775
[2024-12-15 00:34:51] [debug] FPS : 3617.9448
[2024-12-15 00:34:51] [debug] FPS : 8123.4766
[2024-12-15 00:34:51] [debug] FPS : 382.51157
[2024-12-15 00:34:52] [debug] FPS : 5321.9795
[2024-12-15 00:34:52] [debug] FPS : 3373.8193
[2024-12-15 00:34:52] [debug] FPS : 5552.4707
[2024-12-15 00:34:53] [debug] FPS : 5091.65
[2024-12-15 00:34:53] [debug] FPS : 5353.3193
[2024-12-15 00:34:53] [debug] FPS : 5688.282
[2024-12-15 00:34:53] [debug] FPS : 5296.6104
[2024-12-15 00:34:54] [debug] FPS : 6349.206
[2024-12-15 00:34:54] [debug] FPS : 5688.282
[2024-12-15 00:34:54] [debug] FPS : 3732.736
[2024-12-15 00:34:54] [debug] FPS : 6788.866
[2024-12-15 00:34:54] [debug] FPS : 3075.0308
[2024-12-15 00:34:54] [debug] FPS : 2633.6582
[2024-12-15 00:34:54] [debug] FPS : 5341.8804
[2024-12-15 00:34:54] [debug] FPS : 6868.132
[2024-12-15 00:34:54] [debug] FPS : 5800.464
[2024-12-15 00:34:55] [debug] FPS : 4403.3467
[2024-12-15 00:34:55] [debug] FPS : 5037.783
[2024-12-15 00:34:55] [debug] FPS : 4413.063
[2024-12-15 00:34:55] [debug] FPS : 6093.845
[2024-12-15 00:34:55] [debug] FPS : 6142.506
[2024-12-15 00:34:55] [debug] FPS : 5858.2305
[2024-12-15 00:34:55] [debug] FPS : 5271.481
[2024-12-15 00:34:56] [debug] FPS : 4866.18
[2024-12-15 00:34:56] [debug] FPS : 4405.2866
[2024-12-15 00:34:56] [debug] FPS : 5899.705
[2024-12-15 00:34:56] [debug] FPS : 3074.0854
[2024-12-15 00:34:56] [debug] FPS : 5022.6016
[2024-12-15 00:34:56] [debug] FPS : 6535.9478
[2024-12-15 00:34:56] [debug] FPS : 7052.186
[2024-12-15 00:34:56] [debug] FPS : 4042.0374
[2024-12-15 00:34:57] [debug] FPS : 6535.9478
[2024-12-15 00:34:57] [debug] FPS : 5614.823
[2024-12-15 00:34:57] [debug] FPS : 5506.608
[2024-12-15 00:34:57] [debug] FPS : 3941.6633
[2024-12-15 00:35:00] [debug] FPS : 6093.845
[2024-12-15 00:35:00] [debug] FPS : 1990.8422
[2024-12-15 00:35:00] [debug] FPS : 5737.2344
[2024-12-15 00:35:01] [debug] FPS : 5617.9775
[2024-12-15 00:35:01] [debug] FPS : 6631.3
[2024-12-15 00:35:01] [debug] FPS : 6410.257
[2024-12-15 00:35:01] [debug] FPS : 7911.392
[2024-12-15 00:35:01] [debug] FPS : 3432.887
[2024-12-15 00:35:01] [debug] FPS : 5205.622
[2024-12-15 00:35:01] [debug] FPS : 5580.3574
[2024-12-15 00:35:02] [debug] FPS : 6527.415
[2024-12-15 00:35:02] [debug] FPS : 5927.682
[2024-12-15 00:35:02] [debug] FPS : 6402.049
