[2024-12-15 00:49:18] [info] Log initialize done.
[2024-12-15 00:49:18] [info] Engine initialize done.
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 175438.6, delta time 5.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 117647.055, delta time 8.5e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 140845.08, delta time 7.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 166666.66, delta time 6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
