[2024-12-15 00:49:47] [info] Log initialize done.
[2024-12-15 00:49:47] [info] Engine initialize done.
[2024-12-15 00:49:51] [debug] frame per sec : 1443.0015, delta time 0.000693, sex sex sex!!
[2024-12-15 00:49:51] [debug] frame per sec : 4616.805, delta time 0.0002166, sex sex sex!!
[2024-12-15 00:49:51] [debug] frame per sec : 5757.0522, delta time 0.0001737, sex sex sex!!
[2024-12-15 00:49:52] [debug] frame per sec : 3713.3306, delta time 0.0002693, sex sex sex!!
[2024-12-15 00:49:52] [debug] frame per sec : 4488.3306, delta time 0.0002228, sex sex sex!!
[2024-12-15 00:49:52] [debug] frame per sec : 2380.9524, delta time 0.00042, sex sex sex!!
[2024-12-15 00:49:52] [debug] frame per sec : 4020.9087, delta time 0.0002487, sex sex sex!!
[2024-12-15 00:49:52] [debug] frame per sec : 5271.481, delta time 0.0001897, sex sex sex!!
[2024-12-15 00:49:52] [debug] frame per sec : 5165.289, delta time 0.0001936, sex sex sex!!
[2024-12-15 00:49:52] [debug] frame per sec : 4612.546, delta time 0.0002168, sex sex sex!!
[2024-12-15 00:49:53] [debug] frame per sec : 5393.743, delta time 0.0001854, sex sex sex!!
[2024-12-15 00:49:53] [debug] frame per sec : 3228.9312, delta time 0.0003097, sex sex sex!!
[2024-12-15 00:49:54] [debug] frame per sec : 6557.377, delta time 0.0001525, sex sex sex!!
[2024-12-15 00:49:54] [debug] frame per sec : 5165.289, delta time 0.0001936, sex sex sex!!
[2024-12-15 00:49:54] [debug] frame per sec : 4152.8237, delta time 0.0002408, sex sex sex!!
[2024-12-15 00:49:54] [debug] frame per sec : 5549.3896, delta time 0.0001802, sex sex sex!!
[2024-12-15 00:49:54] [debug] frame per sec : 3200, delta time 0.0003125, sex sex sex!!
[2024-12-15 00:49:54] [debug] frame per sec : 2918.0042, delta time 0.0003427, sex sex sex!!
[2024-12-15 00:49:54] [debug] frame per sec : 1537.279, delta time 0.0006505, sex sex sex!!
[2024-12-15 00:49:55] [debug] frame per sec : 4697.0405, delta time 0.0002129, sex sex sex!!
[2024-12-15 00:49:55] [debug] frame per sec : 3575.259, delta time 0.0002797, sex sex sex!!
[2024-12-15 00:49:55] [debug] frame per sec : 1084.5988, delta time 0.000922, sex sex sex!!
[2024-12-15 00:49:55] [debug] frame per sec : 4940.7114, delta time 0.0002024, sex sex sex!!
[2024-12-15 00:49:55] [debug] frame per sec : 4668.534, delta time 0.0002142, sex sex sex!!
[2024-12-15 00:49:55] [debug] frame per sec : 2289.3772, delta time 0.0004368, sex sex sex!!
[2024-12-15 00:49:55] [debug] frame per sec : 5757.0522, delta time 0.0001737, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 2339.1814, delta time 0.0004275, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 6146.2812, delta time 0.0001627, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 3869.9692, delta time 0.0002584, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 6882.3125, delta time 0.0001453, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 6447.453, delta time 0.0001551, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 3649.6353, delta time 0.000274, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 5851.375, delta time 0.0001709, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 2875.2156, delta time 0.0003478, sex sex sex!!
[2024-12-15 00:49:56] [debug] frame per sec : 3667.0332, delta time 0.0002727, sex sex sex!!
[2024-12-15 00:49:57] [debug] frame per sec : 810.24146, delta time 0.0012342, sex sex sex!!
[2024-12-15 00:49:57] [debug] frame per sec : 5543.2373, delta time 0.0001804, sex sex sex!!
[2024-12-15 00:49:57] [debug] frame per sec : 3142.6775, delta time 0.0003182, sex sex sex!!
[2024-12-15 00:49:57] [debug] frame per sec : 5461.4966, delta time 0.0001831, sex sex sex!!
[2024-12-15 00:49:57] [debug] frame per sec : 5760.3687, delta time 0.0001736, sex sex sex!!
[2024-12-15 00:49:57] [debug] frame per sec : 2136.2957, delta time 0.0004681, sex sex sex!!
[2024-12-15 00:49:57] [debug] frame per sec : 3073.1406, delta time 0.0003254, sex sex sex!!
[2024-12-15 00:49:57] [debug] frame per sec : 1974.3336, delta time 0.0005065, sex sex sex!!
